"","Date","Time","Day","Station","Code","Min Delay","Min Gap","Bound","Line","Vehicle","OID_","line","line_1","POINT_X","POINT_Y","CODE.DESCRIPTION"
"1",2024-01-01,"02:00","Monday","Sheppard","MUI",0,0,"N","YU",5491,62,"Yonge-University",1,-79.411104746,43.761474916,"Injured or ill Customer (On Train) - Transported"
"2",2024-01-01,"02:00","Monday","Dundas","MUIS",0,0,"N","YU",0,52,"Yonge-University",1,-79.381123655,43.656277584,"Injured or ill Customer (In Station) - Transported"
"3",2024-01-01,"02:08","Monday","Dundas","MUPAA",4,10,"N","YU",6051,52,"Yonge-University",1,-79.381123655,43.656277584,"Passenger Assistance Alarm Activated - No Trouble Found"
"4",2024-01-01,"02:13","Monday","Kennedy","PUTDN",10,16,"E","BD",5284,30,"Bloor-Danforth",2,-79.264538997,43.732246741,"Debris At Track Level - Uncontrollable"
"5",2024-01-01,"02:22","Monday","Bloor","MUPAA",4,10,"N","YU",5986,17,"Bloor-Danforth",2,-79.3832,43.67,"Passenger Assistance Alarm Activated - No Trouble Found"
"6",2024-01-01,"02:25","Monday","St Clair","MUPAA",3,9,"N","YU",6051,57,"Yonge-University",1,-79.393589409,43.68818861,"Passenger Assistance Alarm Activated - No Trouble Found"
"7",2024-01-01,"02:25","Monday","Bloor","MUIRS",0,0,"S","YU",0,17,"Bloor-Danforth",2,-79.3832,43.67,"Injured or ill Customer (In Station) - Medical Aid Refused"
"8",2024-01-01,"02:27","Monday","Woodbine","EUDO",7,13,"E","BD",5077,26,"Bloor-Danforth",2,-79.313208456,43.686505466,"Door Problems - Faulty Equipment"
"9",2024-01-01,"02:28","Monday","Finch","MUIRS",0,0,"S","YU",5561,64,"Yonge-University",1,-79.415772005,43.780682365,"Injured or ill Customer (In Station) - Medical Aid Refused"
"10",2024-01-01,"02:30","Monday","Davisville","MUI",13,19,"N","YU",6051,58,"Yonge-University",1,-79.397541379,43.698088363,"Injured or ill Customer (On Train) - Transported"
"11",2024-01-01,"02:36","Monday","Finch","MUI",24,30,"S","YU",5931,64,"Yonge-University",1,-79.415772005,43.780682365,"Injured or ill Customer (On Train) - Transported"
"12",2024-01-01,"02:45","Monday","College","MUIR",12,18,"N","YU",5816,53,"Yonge-University",1,-79.383313131,43.661307158,"Injured or ill Customer (On Train) - Medical Aid Refused"
"13",2024-01-01,"03:01","Monday","Lawrence West","SUDP",3,9,"N","YU",5726,39,"Yonge-University",1,-79.444403408,43.716018577,"Disorderly Patron"
