date,line,time,day,location,incident,min_delay,min_gap,bound,day_type,rush_type,season,is_holiday,Year,Month,Day,Max Temp (°C),Min Temp (°C),Total Precip (mm),Snow on Grnd (cm)
2024-01-01,505,02:45:00,Monday,DUNDAS AND MCCAUL,Security,10,20,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,505,03:06:00,Monday,COLLEGE AND GLADSTONE,Emergency Services,52,72,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,503,03:21:00,Monday,PARLIAMENT AND SHUTTER,Security,0,0,N,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,505,03:53:00,Monday,DUNDAS WEST STATION,Security,37,0,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,600,04:27:00,Monday,QUEEN AND BATHURST,Diversion,78,93,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,04:33:00,Monday,QUEEN AND BATHRUST,Diversion,74,84,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,04:39:00,Monday,QUEEN AND PORTLAND,Diversion,39,49,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,507,04:52:00,Monday,RONCESVALLES YARD,General Delay,6,18,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,506,04:53:00,Monday,RONCESVALLE YARD,General Delay,13,28,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,04:54:00,Monday,RONCESVALLES YARD,General Delay,15,30,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,510,04:56:00,Monday,UNION STATION,Security,10,40,NA,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,04:57:00,Monday,RONCESVALLES YARD,General Delay,7,13,NA,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,507,05:04:00,Monday,RONCESVALLES YARD,General Delay,12,24,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,506,05:05:00,Monday,RONCESVALLES YARD,General Delay,10,20,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,05:09:00,Monday,QUEEN AND PORTLAND,Diversion,39,49,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,05:09:00,Monday,RONCEVALLES YARD,General Delay,3,13,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,505,05:11:00,Monday,RONCESVALLES YARD,General Delay,5,15,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,507,05:16:00,Monday,RONCESVALLES CARHOUSE,General Delay,5,17,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,05:19:00,Monday,RONCESVALLES YARD,General Delay,3,15,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,505,05:21:00,Monday,RONCESVALLES YARD,General Delay,4,12,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,05:29:00,Monday,RONCESVALLES YARD,General Delay,4,14,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,506,05:31:00,Monday,GERRARD AND LOGAN,General Delay,10,20,NA,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,05:39:00,Monday,RONCESVALLES YARD,Held By,10,20,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,05:49:00,Monday,RONCESVALLES YARD,Held By,10,20,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,506,05:51:00,Monday,RONCESVALLES YARD,Held By,7,17,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,504,06:29:00,Monday,SUNNYSIDE LOOP,Emergency Services,10,20,S,Weekday,morning,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,505,06:57:00,Monday,DUNDAS AND CHURCH,Security,10,20,E,Weekday,morning,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,07:31:00,Monday,QUEEN AND MCCAUL,Emergency Services,50,58,E,Weekday,morning,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
