date,time,day,station,code,min_delay,min_gap,bound,line_code,day_type,rush_type,season,is_holiday,Max Temp (°C),Min Temp (°C),Total Precip (mm),Snow on Grnd (cm),line_name,line_number,POINT_X,POINT_Y,code_description
2024-01-01,02:00:00,Monday,Sheppard,MUI,0,0,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.411104746,43.761474916,Injured or ill Customer (On Train) - Transported
2024-01-01,02:00:00,Monday,Dundas,MUIS,0,0,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.381123655,43.656277584,Injured or ill Customer (In Station) - Transported
2024-01-01,02:08:00,Monday,Dundas,MUPAA,4,10,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.381123655,43.656277584,Passenger Assistance Alarm Activated - No Trouble Found
2024-01-01,02:13:00,Monday,Kennedy,PUTDN,10,16,E,BD,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Bloor-Danforth,2,-79.264538997,43.732246741,Debris At Track Level - Uncontrollable
2024-01-01,02:22:00,Monday,Bloor,MUPAA,4,10,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Bloor-Danforth,2,-79.3852,43.67,Passenger Assistance Alarm Activated - No Trouble Found
2024-01-01,02:25:00,Monday,St Clair,MUPAA,3,9,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.393589409,43.68818861,Passenger Assistance Alarm Activated - No Trouble Found
2024-01-01,02:25:00,Monday,Bloor,MUIRS,0,0,S,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Bloor-Danforth,2,-79.3852,43.67,Injured or ill Customer (In Station) - Medical Aid Refused
2024-01-01,02:27:00,Monday,Woodbine,EUDO,7,13,E,BD,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Bloor-Danforth,2,-79.313208456,43.686505466,Door Problems - Faulty Equipment
2024-01-01,02:28:00,Monday,Finch,MUIRS,0,0,S,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.415772005,43.780682365,Injured or ill Customer (In Station) - Medical Aid Refused
2024-01-01,02:30:00,Monday,Davisville,MUI,13,19,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.397541379,43.698088363,Injured or ill Customer (On Train) - Transported
2024-01-01,02:36:00,Monday,Finch,MUI,24,30,S,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.415772005,43.780682365,Injured or ill Customer (On Train) - Transported
2024-01-01,02:45:00,Monday,College,MUIR,12,18,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.383313131,43.661307158,Injured or ill Customer (On Train) - Medical Aid Refused
2024-01-01,03:01:00,Monday,Lawrence West,SUDP,3,9,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.444403408,43.716018577,Disorderly Patron
2024-01-01,03:06:00,Monday,Lawrence West,MUIS,0,0,S,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.444403408,43.716018577,Injured or ill Customer (In Station) - Transported
2024-01-01,03:17:00,Monday,Victoria Park,MUIS,0,0,NA,BD,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Bloor-Danforth,2,-79.28985976,43.69445053,Injured or ill Customer (In Station) - Transported
2024-01-01,03:31:00,Monday,North York Centre,MUIRS,0,0,NA,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.412735717,43.767837366,Injured or ill Customer (In Station) - Medical Aid Refused
2024-01-01,03:50:00,Monday,Kennedy,MUIS,0,0,NA,BD,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Bloor-Danforth,2,-79.264538997,43.732246741,Injured or ill Customer (In Station) - Transported
2024-01-01,05:26:00,Monday,Finch,SUAE,0,0,NA,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.415772005,43.780682365,Assault / Employee Involved
2024-01-01,06:00:00,Monday,Kipling,MUIS,0,0,NA,BD,Weekday,morning,Winter,1,-0.7,-3.1,0.1,2,Bloor-Danforth,2,-79.536179398,43.637142249,Injured or ill Customer (In Station) - Transported
2024-01-01,07:05:00,Monday,Dupont,MUNCA,0,0,NA,YU,Weekday,morning,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.40731305,43.674800945,NA
2024-01-01,07:57:00,Monday,Sheppard West,TUNOA,12,24,N,YU,Weekday,morning,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.462584556,43.750410786,No Operator Immediately Available 
2024-01-01,08:41:00,Monday,Eglinton,TUNOA,6,12,N,YU,Weekday,morning,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.398622359,43.706765596,No Operator Immediately Available 
2024-01-01,08:42:00,Monday,Sheppard West,TUNIP,6,12,N,YU,Weekday,morning,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.462584556,43.750410786,Operator Not In Position
2024-01-01,09:06:00,Monday,College,SUO,0,0,S,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.383313131,43.661307158,Passenger Other
2024-01-01,09:09:00,Monday,St Clair,PUOPO,7,13,S,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.393589409,43.68818861,OPTO (COMMS) Train Door Monitoring
2024-01-01,09:17:00,Monday,Summerhill,PUOPO,6,12,S,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.390913388,43.68210859,OPTO (COMMS) Train Door Monitoring
2024-01-01,09:45:00,Monday,Queen,SUO,10,16,S,YUS,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.379455679,43.652393313,Passenger Other
2024-01-01,10:08:00,Monday,Eglinton,TUNOA,6,12,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.398622359,43.706765596,No Operator Immediately Available 
2024-01-01,11:18:00,Monday,Queen,SUSA,0,0,N,YU,Weekday,none,Winter,1,-0.7,-3.1,0.1,2,Yonge-University,1,-79.379455679,43.652393313,Sexual Assault
